Id_1,sid_11,sid_12,sid_13,sid_14,sid_15,
0.962458,0.878532,0.108216,0.0748305,0.0480661,0.0411741,0.0402757
Id_2,sid_21,sid_22,sid_23,sid_24,sid_25,
0.918402,0.197748,0.098617,0.0751988,0.0700512,0.061717,0.0616848
Id_3,sid_31,sid_32,sid_33,sid_34,sid_35,
0.827801,0.142329,0.121885,0.107633,0.0933495,0.0904348,0.0897944
Id_4,sid_41,sid_42,sid_43,sid_44,sid_45,
0.866482,0.148655,0.113704,0.113505,0.110968,0.100624,0.0789965
Id_5,sid_51,sid_52,sid_53,sid_54,sid_55,
0.929305,0.393204,0.252525,0.0860811,0.079605,0.0772752,0.0671034
Id_6,sid_61,sid_62,sid_63,sid_64,sid_65,
0.880199,0.360891,0.196876,0.102681,0.101043,0.0973863,0.0828837
Id_7,sid_71,sid_72,sid_73,sid_74,sid_75,
0.961635,0.875055,0.065664,0.0496373,0.0471643,0.041087,0.0389556
Id_8,sid_81,sid_82,sid_83,sid_84,sid_85,
0.91022,0.104056,0.103449,0.101419,0.0735967,0.0696547,0.0657813
Id_9,sid_91,sid_92,sid_93,sid_94,sid_95,
0.927364,0.554741,0.0828225,0.0755634,0.0732201,0.0725015,0.0721549
Id_10,sid_101,sid_102,sid_103,sid_104,sid_105,
0.878875,0.425155,0.0972915,0.0948825,0.0757379,0.0756702,0.0576873
Id_11,sid_111,sid_112,sid_113,sid_114,sid_115,
0.794402,0.401006,0.130678,0.113624,0.0922805,0.0794022,0.0749617
Id_12,sid_121,sid_122,sid_123,sid_124,sid_125,
0.88816,0.272437,0.216821,0.1308,0.0924344,0.0902957,0.0839227
Id_13,sid_131,sid_132,sid_133,sid_134,sid_135,
0.923652,0.388647,0.278434,0.252086,0.121403,0.106734,0.102753
Id_14,sid_141,sid_142,sid_143,sid_144,sid_145,
0.928206,0.611216,0.41748,0.0939767,0.0710464,0.070238,0.0691875
Id_15,sid_151,sid_152,sid_153,sid_154,sid_155,
0.943167,0.660322,0.58128,0.0634808,0.0597294,0.0543078,0.0496416
Id_16,sid_161,sid_162,sid_163,sid_164,sid_165,
0.824957,0.16575,0.126228,0.109488,0.0888503,0.0858612,0.082937
Id_17,sid_171,sid_172,sid_173,sid_174,sid_175,
0.9289,0.631636,0.379784,0.0669356,0.0599385,0.0564644,0.0541488
Id_18,sid_181,sid_182,sid_183,sid_184,sid_185,
0.931507,0.554821,0.0679789,0.0646804,0.0625322,0.0585439,0.0564327
Id_19,sid_191,sid_192,sid_193,sid_194,sid_195,
0.890227,0.271973,0.227337,0.144226,0.11483,0.105499,0.0885659
Id_20,sid_201,sid_202,sid_203,sid_204,sid_205,
0.816814,0.17236,0.127558,0.123903,0.12248,0.107641,0.10012
Id_21,sid_211,sid_212,sid_213,sid_214,sid_215,
0.854897,0.107401,0.0999387,0.0914042,0.0864672,0.0692117,0.0686052
Id_22,sid_221,sid_222,sid_223,sid_224,sid_225,
0.927978,0.126819,0.109253,0.092237,0.0776006,0.0584889,0.0576602
Id_23,sid_231,sid_232,sid_233,sid_234,sid_235,
0.806592,0.433318,0.139623,0.116391,0.0975425,0.0830259,0.0705018
Id_24,sid_241,sid_242,sid_243,sid_244,sid_245,
0.854467,0.226609,0.19249,0.156934,0.132158,0.0948156,0.0852073
Id_25,sid_251,sid_252,sid_253,sid_254,sid_255,
0.840206,0.10397,0.0965298,0.0962466,0.0922448,0.0917385,0.089103
Id_26,sid_261,sid_262,sid_263,sid_264,sid_265,
0.88281,0.140356,0.123162,0.115161,0.106469,0.100216,0.0903185
Id_27,sid_271,sid_272,sid_273,sid_274,sid_275,
0.876349,0.395008,0.114874,0.0978053,0.0756271,0.0727287,0.0692131
Id_28,sid_281,sid_282,sid_283,sid_284,sid_285,
0.85956,0.141302,0.122801,0.104986,0.101565,0.0949528,0.0692299
Id_29,sid_291,sid_292,sid_293,sid_294,sid_295,
0.900446,0.37366,0.146254,0.13594,0.0947242,0.0932691,0.0895044
Id_30,sid_301,sid_302,sid_303,sid_304,sid_305,
0.916737,0.0956772,0.0770382,0.0738141,0.0626417,0.0622776,0.0577628
Id_31,sid_311,sid_312,sid_313,sid_314,sid_315,
0.839863,0.134279,0.125552,0.124558,0.118814,0.118075,0.103824
Id_32,sid_321,sid_322,sid_323,sid_324,sid_325,
0.922563,0.10797,0.0859285,0.0820999,0.0689886,0.053803,0.0533368
Id_33,sid_331,sid_332,sid_333,sid_334,sid_335,
0.927051,0.0888032,0.0712095,0.0654524,0.0632979,0.062885,0.0618456
Id_34,sid_341,sid_342,sid_343,sid_344,sid_345,
0.869804,0.423294,0.199792,0.11259,0.0987172,0.0833842,0.0798664
Id_35,sid_351,sid_352,sid_353,sid_354,sid_355,
0.852601,0.0997922,0.0898312,0.0827878,0.0765379,0.0704661,0.0652883
Id_36,sid_361,sid_362,sid_363,sid_364,sid_365,
0.708107,0.143254,0.129162,0.119,0.114278,0.109376,0.104542
Id_37,sid_371,sid_372,sid_373,sid_374,sid_375,
0.808708,0.0816298,0.0782956,0.0706947,0.0623353,0.0613429,0.0603144
Id_38,sid_381,sid_382,sid_383,sid_384,sid_385,
0.901331,0.0962704,0.0765972,0.0692705,0.0678514,0.0612609,0.0583018
Id_39,sid_391,sid_392,sid_393,sid_394,sid_395,
0.778471,0.189025,0.139004,0.120743,0.119581,0.111728,0.0974115
Id_40,sid_401,sid_402,sid_403,sid_404,sid_405,
0.879317,0.0884469,0.08825,0.0758323,0.068059,0.0649239,0.0637656
Id_41,sid_411,sid_412,sid_413,sid_414,sid_415,
0.852693,0.325116,0.185371,0.176269,0.174836,0.140361,0.129657
Id_42,sid_421,sid_422,sid_423,sid_424,sid_425,
0.838253,0.146403,0.113203,0.105204,0.104563,0.0975204,0.0767362
Id_43,sid_431,sid_432,sid_433,sid_434,sid_435,
0.911033,0.120458,0.101368,0.0750435,0.0716657,0.0688294,0.0668378
Id_44,sid_441,sid_442,sid_443,sid_444,sid_445,
0.938867,0.0806933,0.0688213,0.0655607,0.0626096,0.059277,0.0572876
Id_45,sid_451,sid_452,sid_453,sid_454,sid_455,
0.809329,0.234145,0.128978,0.0935928,0.0866218,0.0823261,0.070747
Id_46,sid_461,sid_462,sid_463,sid_464,sid_465,
0.75101,0.22298,0.159416,0.11219,0.106353,0.104508,0.0887634
Id_47,sid_471,sid_472,sid_473,sid_474,sid_475,
0.926617,0.0670613,0.0635097,0.0626613,0.0622245,0.0616921,0.0592453
Id_48,sid_481,sid_482,sid_483,sid_484,sid_485,
0.892498,0.219092,0.106223,0.0806788,0.0591087,0.0500237,0.0500154
Id_49,sid_491,sid_492,sid_493,sid_494,sid_495,
0.785554,0.13477,0.0998283,0.0978143,0.0926868,0.0887334,0.0865398
Id_50,sid_501,sid_502,sid_503,sid_504,sid_505,
0.780681,0.110629,0.109258,0.100468,0.0872808,0.0801959,0.0799432
